Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis
 'A short bout of HFD promotes long-lasting hepatic lipid accumulation.txt', 'In vitro activity of fluorescent dyes against asexual blood stages of Plasmodium falciparum.txt', 'Expression cloning of multiple human cDNAs that complement the phenotypic defects of ataxia-telangiectasia group D fibroblasts.txt'
 'State of the Art Review  Emerging Therapies  The Use of Insulin Sensitizers in the Treatment of Adolescents with Polycystic Ovary Syndrome (PCOS).txt', 'Heteroresistance to meropenem in carbapenem-susceptible Acinetobacter baumannii.txt', 'Hedgehog pathway orchestrates the interplay of histone modifications and tailors combination epigenetic therapies in breast cancer.txt'
 'Metabolic inflexibility and insulin resistance in obese adolescents with non-alcoholic fatty liver disease.txt', 'The mechanism of sensitivity to phleomycin in growing Escherichia coli cells.txt', 'Inhibition of retinoic acid receptor α phosphorylation represses the progression of triple-negative breast cancer via transactivating miR-3074-5p to target DHRS3.txt'
 'Effect of the Aged Garlic Extract on Cardiovascular Function in Metabolic Syndrome Rats.txt', 'Bioresponsive nano-antibacterials for H2S-sensitized hyperthermia and immunomodulation against refractory implant-related infections.txt', 'Noncompetitive modulation of the proteasome by imidazoline scaffolds overcomes bortezomib resistance and delays MM tumor growth in vivo.txt'
 'Fish oil -- how does it reduce plasma triglycerides.txt', 'A Phase 1 2 Trial of Ruxolitinib and Erlotinib in Patients with EGFR-Mutant Lung Adenocarcinomas with Acquired Resistance to Erlotinib.txt', 'Aloe-Emodin Overcomes Anti-Cancer Drug Resistance to Temozolomide and Prevents Colony Formation and Migration in Primary Human Glioblastoma Cell Lines NULU and ZAR.txt'
 'Mebendazole Impedes the Proliferation and Migration of Pancreatic Cancer Cells through SK1 Inhibition Dependent Pathway.txt', 'Evaluating the effectiveness of the Ministry of Health restriction policy on seasonal antibiotic consumption trends in Saudi Arabia, 'CTRR-ncRNA  A Knowledgebase for Cancer Therapy Resistance and Recurrence Associated Non-coding RNAs.txt'
 'Ghrelin-ghrelin O-acyltransferase system in the pathogenesis of nonalcoholic fatty liver disease.txt', 2016-2020.txt', 'Gli1 contributes to cellular resistance to cisplatin through altered cellular accumulation of the drug.txt'
, 'Treatment of gonorrhea in the male with trimethoprim-sulfamethoxazole using a one- or two-dose regimen.txt', 'High ATP Production Fuels Cancer Drug Resistance and Metastasis  Implications for Mitochondrial ATP Depletion Therapy.txt'
, 'Pharmacokinetic-pharmacodynamic-model-guided doripenem dosing in critically ill patients.txt',
'The current landscape of the antimicrobial peptide melittin and its therapeutic potential.txt','Ritonavir-saquinavir dual protease inhibitor compared to ritonavir alone in human immunodeficiency virus-infected patients.txt','Selective mode of action of plumbagin through BRCA1 deficient breast cancer stem cells.txt'
 'Minnelide, 'Comparison of itraconazole and fluconazole in treatment of cryptococcal meningitis and candida pyelonephritis in rabbits.txt', 'Multiple BH3 mimetics antagonize antiapoptotic MCL1 protein by inducing the endoplasmic reticulum stress response and up-regulating BH3-only protein NOXA.txt'
 a novel drug for pancreatic and liver cancer.txt', 'Pioglitazone decreases ambulatory blood pressure in type 2 diabetics with difficult-to-control hypertension.txt', 'FAM167A is a key molecule to induce BCR-ABL-independent TKI resistance in CML via noncanonical NF-kappaB signaling activation.txt'
 'Pharmaceutical Potential of Synthetic and Natural Pyrrolomycins.txt', 'Bariatric surgery versus intensive medical therapy in obese patients with diabetes.txt', 'Targeting of the Lipid Metabolism Impairs Resistance to BRAF Kinase Inhibitor in Melanoma.txt'
 'Antimalarial Activity of the Chemical Constituents of the Leaf Latex of Aloe pulcherrima Gilbert and Sebsebe.txt', 'Management of Diabetes Associated with Nephrotic Syndrome  Therapeutic Potential of Dapagliflozin for Protracted Volume Retention.txt', 'CCAAT Enhancer-binding protein delta mediates glioma stem-like cell enrichment and ATP-binding cassette transporter ABCA1 activation for temozolomide resistance in glioblastoma.txt'
 'Lovastatin Treatment Inducing Apoptosis in Human Pancreatic Cancer Cells by Inhibiting Cholesterol Rafts in Plasma Membrane and Mitochondria.txt',,
'Global connectivity of hub residues in Oncoprotein structures encodes genetic factors dictating personalized drug response to targeted Cancer therapy.txt','Topical versus systemic vancomycin for deep sternal wound infection caused by methicillin-resistant Staphylococcus aureus in a rodent experimental model.txt','Molecular validation of LpxC as an antibacterial drug target in Pseudomonas aeruginosa.txt'
 'Inhibition of carnitine palmitoyltransferase-1 activity alleviates insulin resistance in diet-induced obese mice.txt', 'Augmentation of anti-tumor immunity in low-responder mice by various biological response modifiers  analysis of effector mechanism.txt', 'Inhibition of HIV-1 replication by isoxazolidine and isoxazole sulfonamides.txt'
 'Molecular characterization of bla ESBL-harboring conjugative plasmids identified in multi-drug resistant Escherichia coli isolated from food-producing animals and healthy humans.txt', 'In vitro Activity of Pentamidine Alone and in Combination With Aminoglycosides, 'Disheveled3 enhanced EMT and cancer stem-like cells properties via Wnt β-catenin c-Myc SOX2 pathway in colorectal cancer.txt'
 'Antivirals Targeting the Neuraminidase.txt', Tigecycline, 'BUB1 Promotes Gemcitabine Resistance in Pancreatic Cancer Cells by Inhibiting Ferroptosis.txt'
 'MiR-17- 5p RRM2 regulated gemcitabine resistance in lung cancer A549 cells.txt', Rifampicin, 'Selective modulation of P-glycoprotein-mediated drug resistance.txt'
 'High clustering rate and genotypic drug-susceptibility screening for the newly recommended anti-tuberculosis drugs among global extensively drug-resistant Mycobacterium tuberculosis isolates.txt', and Doripenem Against Clinical Strains of Carbapenemase-Producing and or Colistin-Resistant Enterobacteriaceae.txt', 'An isoleucine leucine residue in the carboxyltransferase domain of acetyl-CoA carboxylase is critical for interaction with aryloxyphenoxypropionate and cyclohexanedione inhibitors.txt'
 'Limiting the development of anti-cancer drug resistance in a spatial model of micrometastases.txt', 'Meta-Analysis of Interleukin-2 Receptor Antagonists as the Treatment for Steroid-Refractory Acute Graft-Versus-Host Disease.txt', 'Resistance to BRAF Inhibitors  EZH2 and Its Downstream Targets as Potential Therapeutic Options in Melanoma.txt'
 'Effective growth-suppressive activity of maternal embryonic leucine-zipper kinase (MELK) inhibitor against small cell lung cancer.txt', 'Anti-Candida Activity of Bursera morelensis Ramirez Essential Oil and Two Compounds, 'Targeting Plk1 to Enhance Efficacy of Olaparib in Castration-Resistant Prostate Cancer.txt'
 'Dasatinib in the Management of Pediatric Patients With Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia.txt', α-Pinene and γ-Terpinene-An In Vitro Study.txt', 'DCTPP1 attenuates the sensitivity of human gastric cancer cells to 5-fluorouracil by up-regulating MDR1 expression epigenetically.txt'
 'Role of bendamustine in the treatment of chronic lymphocytic leukemia.txt', 'Imipenem, 'Nuclear Eg5 (kinesin spindle protein) expression predicts docetaxel response and prostate cancer aggressiveness.txt'
, meropenem,
, or doripenem to treat patients with Pseudomonas aeruginosa ventilator-associated pneumonia.txt',
, 'Phase II study of dovitinib in patients with metastatic and or unresectable gastrointestinal stromal tumours after failure of imatinib and sunitinib.txt',
, 'Evaluation of Mannosidase and Trypsin Enzymes Effects on Biofilm Production of Pseudomonas aeruginosa Isolated from Burn Wound Infections.txt',
, 'Favorable response to second-line atezolizumab and bevacizumab following progression on nivolumab in advanced hepatocellular carcinoma  A case report demonstrating that anti-VEGF therapy overcomes resistance to checkpoint inhibition.txt',
'Resveratrol and grape disease resistance.txt','Effect of Recombinant Human Growth Hormone and Rosiglitazone for HIV-Associated Abdominal Fat Accumulation on Adiponectin and other Markers of Inflammation.txt','ABC and SLC transporter expression and proton oligopeptide transporter (POT) mediated permeation across the human blood--brain barrier cell line
 'Pathogen-specific structural features of Candida albicans Ras1 activation complex  uncovering new antifungal drug targets.txt', 'Neratinib, hCMEC D3 [corrected
 'Ambroxol Hydrochloride Combined with Fluconazole Reverses the Resistance of Candida albicans to Fluconazole.txt', a pan ERBB HER inhibitor,
 'Synthetic Organotellurium Compounds Sensitize Drug-Resistant Candida albicans Clinical Isolates to Fluconazole.txt', restores sensitivity of PTEN-null,
 'Targeted OUM1 PTPRZ1 silencing and synergetic CDT enhanced chemical therapy toward uveal melanoma based on a dual-modal imaging-guided manganese metal-organic framework nanoparticles.txt', BRAFV600E melanoma to BRAF MEK inhibition.txt',
 'A Novel Trojan Horse Nanotherapy Strategy Targeting the cPKM-STMN1 TGFB1 Axis for Effective Treatment of Intrahepatic Cholangiocarcinoma.txt'," ""Jiaotaiwan improves brain glucose metabolism in a mouse model of Alzheimer's disease by activating the PI3K AKT signaling pathway",
 'Degraders  The Ultimate Weapon Against Amplified Driver Kinases in Cancer.txt',,
 'Microbiota-Derived Natural Products Targeting Cancer Stem Cells  Inside the Gut Pharma Factory.txt',,
'Platinum-based drugs for cancer therapy and anti-tumor strategies.txt','Efficacy and acquired resistance of EGFR-TKI combined with chemotherapy as first-line treatment for Chinese patients with advanced non-small cell lung cancer in a real-world setting.txt','Role of tumor suppressor p53 and micro-RNA interplay in multiple myeloma pathogenesis.txt'
 'JumonjiC demethylase inhibitors show potential for targeting chemotherapy-resistant lung cancers.txt', 'Effects of daptomycin, 'The genetic and dietary landscape of the muscle insulin signalling network.txt'
 'The Combination of Vemurafenib and Procaspase-3 Activation Is Synergistic in Mutant BRAF Melanomas.txt', linezolid, 'PARP Inhibitors in Breast Cancer  a Short Communication.txt'
 'Metformin Enhances the Anti-Cancer Efficacy of Sorafenib via Suppressing MAPK ERK Stat3 Axis in Hepatocellular Carcinoma.txt', and vancomycin on establishment of intestinal colonization with vancomycin-resistant enterococci and extended-spectrum-beta-lactamase-producing Klebsiella pneumoniae in mice.txt', 'Transforming the Niche  The Emerging Role of Extracellular Vesicles in Acute Myeloid Leukaemia Progression.txt'
 'R-634 restores drug sensitivity in resistant ovarian cancer cells by targeting the Ras-MAPK pathway.txt', 'Antimicrobial activity of gentamicin in experimental enterococcal endocarditis.txt', 'Mode of action and resistance studies unveil new roles for tropodithietic acid as an anticancer agent and the gamma-glutamyl cycle as a proton sink.txt'
 'Cancer cell membrane-coated nanoparticles for bimodal imaging-guided photothermal therapy and docetaxel-enhanced immunotherapy against cancer.txt', 'Rampant Parasexuality Evolves in a Hospital Pathogen during Antibiotic Selection.txt', 'Structural basis of RND-type multidrug exporters.txt'
 'Malformin-A1 (MA1) Sensitizes Chemoresistant Ovarian Cancer Cells to Cisplatin-Induced Apoptosis.txt', 'Modelling the effect of short-course multidrug-resistant tuberculosis treatment in Karakalpakstan, 'Mammalian target of rapamycin signaling in diabetic cardiovascular disease.txt'
 'NXL-103, Uzbekistan.txt', 'OSMI-1 Enhances TRAIL-Induced Apoptosis through ER Stress and NF-κB Signaling in Colon Cancer Cells.txt'
 a combination of flopristin and linopristin, 'Lorlatinib and capmatinib in a ROS1-rearranged NSCLC with MET-driven resistance  tumor response and evolution.txt',
 for the potential treatment of bacterial infections including community-acquired pneumonia and MRSA.txt',,
'Enhancement of anti-tumor effects of 5-fluorouracil on hepatocellular carcinoma by low-intensity ultrasound.txt','Prevalence of Multidrug-Resistant Tuberculosis in Dalian,'Rational drug redesign to overcome drug resistance in cancer therapy  imatinib moving target.txt'
 'Anti-DR5 monoclonal antibody-mediated DTIC-loaded nanoparticles combining chemotherapy and immunotherapy for malignant melanoma  target formulation development and in vitro anticancer activity.txt', China  A Retrospective Study.txt', 'SaeR as a novel target for antivirulence therapy against Staphylococcus aureus.txt'
 'Solamargine inhibits the growth of hepatocellular carcinoma and enhances the anticancer effect of sorafenib by regulating HOTTIP-TUG1 miR-4726-5p MUC1 pathway.txt', 'Effect of treatment with chlorthalidone and atenolol on response to dilator agents in the forearm resistance vessels of men with primary hypertension.txt', 'Inhibition of Lapatinib-Induced Kinome Reprogramming in ERBB2-Positive Breast Cancer by Targeting BET Family Bromodomains.txt'
 'Intracellular delivery of anti-BCR ABL antibody by PLGA nanoparticles suppresses the oncogenesis of chronic myeloid leukemia cells.txt', 'Brusatol enhances the efficacy of chemotherapy by inhibiting the Nrf2-mediated defense mechanism.txt', 'The CroRS two-component regulatory system is required for intrinsic beta-lactam resistance in Enterococcus faecalis.txt'
 'Engineering Nanoplatform for Combined Cancer Therapeutics via Complementary Autophagy Inhibition.txt', 'Electroconvulsive Therapy Added to Non-Clozapine Antipsychotic Medication for Treatment Resistant Schizophrenia  Meta-Analysis of Randomized Controlled Trials.txt', 'Targeting the ER-autophagy system in the trabecular meshwork to treat glaucoma.txt'
 'Design, 'Tocilizumab for steroid refractory acute graft-versus-host disease.txt', 'Expression and effects of inhibition of type I insulin-like growth factor receptor tyrosine kinase in mantle cell lymphoma.txt'
 Synthesis, 'Carbapenem-Resistant Klebsiella pneumoniae Among Patients with Ventilator-Associated Pneumonia  Evaluation of Antibiotic Combinations and Susceptibility to New Antibiotics.txt',
 and Evaluation of Novel Δ2-Thiazolino 2-Pyridone Derivatives That Potentiate Isoniazid Activity in an Isoniazid-Resistant Mycobacterium tuberculosis Mutant.txt',,
'Treatment for hepatitis B in patients with drug resistance.txt','Histological and immunophenotypic changes in 59 cases of B-cell non-Hodgkin's lymphoma after rituximab therapy.txt','TRERNA1 upregulation mediated by HBx promotes sorafenib resistance and cell proliferation in HCC via targeting NRAS by sponging miR-22-3p.txt'
 'Novel antimicrobial strategies to treat multi-drug resistant Staphylococcus aureus infections.txt', 'Evaluation of intracoronary function after reduction of ventricular rate by esmolol in severe stenotic myocardial bridge  A case report.txt', 'A chemoproteoinformatics approach demonstrates that aspirin increases sensitivity to MEK inhibition by directly binding to RPS5.txt'
 'Targeting miRNA for Therapy of Juvenile and Adult Diabetic Cardiomyopathy.txt', 'Trabectedin for metastatic soft tissue sarcoma  a retrospective single center analysis.txt', 'Characterization of cells resistant to the potent histone deacetylase inhibitor spiruchostatin B (SP-B) and effect of overexpressed p21waf1 cip1 on the SP-B resistance or susceptibility of human leukemia cells.txt'
 'Ovarian cancer stem cells  a new target for cancer therapy.txt', 'Clinical potential of elacytarabine in patients with acute myeloid leukemia.txt', 'Increased sensitivity to thiopurines in methylthioadenosine phosphorylase-deleted cancers.txt'
 'Puerarin-V prevents the progression of hypoxia- and monocrotaline-induced pulmonary hypertension in rodent models.txt', 'Amphotericin B responsive Scedosporium apiospermum infection in a patient with acute myeloid leukaemia.txt', 'YAP inhibition overcomes adaptive resistance in HER2-positive gastric cancer treated with trastuzumab via the AKT mTOR and ERK mTOR axis.txt'
, 'Cardiac Safety of Osimertinib  A Review of Data.txt', 'TFPI1 mediates resistance to doxorubicin in breast cancer cells by inducing a hypoxic-like response.txt'
, 'Remarkable response to pembrolizumab with platinum-doublet in PD-L1-low pulmonary sarcomatoid carcinoma  A case report.txt', 'The Effects and Mechanisms of Periplaneta americana Extract Reversal of Multi-Drug Resistance in BEL-7402 5-FU Cells.txt'
,, 'Enhanced reversal of ABCG2-mediated drug resistance by replacing a phenyl ring in baicalein with a meta-carborane.txt'
'Apoptolidin family glycomacrolides target leukemia through inhibition of ATP synthase.txt','Antibacterial Effects of Cissus welwitschii and Triumfetta welwitschii Extracts against Escherichia coli and Bacillus cereus.txt','Small molecule inhibition of FOXM1  How to bring a novel compound into genomic context.txt'
 'Ilicicolin A Exerts Antitumor Effect in Castration-Resistant Prostate Cancer Via Suppressing EZH2 Signaling Pathway.txt', 'Pulmonary vasodilation by sildenafil in acute intermediate-high risk pulmonary embolism  a randomized explorative trial.txt', 'Analysis of aggregated cell-cell statistical distances within pathways unveils therapeutic-resistance mechanisms in circulating tumor cells.txt'
 'TOR ATP-competitive inhibitor INK128 inhibits neuroblastoma growth via blocking mTORC signaling.txt', 'Dose-dense temozolomide regimen for the treatment of brain metastases from melanoma, 'N6-methyladenosine methyltransferases  functions
 'DHW-221, breast cancer, regulation
 a Dual PI3K mTOR Inhibitor, or lung cancer not amenable to surgery or radiosurgery  a multicenter phase II study.txt', and clinical potential.txt'
 Overcomes Multidrug Resistance by Targeting P-Glycoprotein (P-gp ABCB1) and Akt-Mediated FOXO3a Nuclear Translocation in Non-small Cell Lung Cancer.txt', 'Antimicrobial Susceptibility Testing Performed in RPMI 1640 Reveals Azithromycin Efficacy against Carbapenem-Resistant Acinetobacter baumannii and Predicts In Vivo Outcomes in Galleria mellonella.txt', 'The protein disulfide isomerases PDIA4 and PDIA6 mediate resistance to cisplatin-induced cell death in lung adenocarcinoma.txt'
 'Design, 'Phase I Study of an AKT Inhibitor (MK-2206) Combined with Lapatinib in Adult Solid Tumors Followed by Dose Expansion in Advanced HER2+ Breast Cancer.txt', 'Molecular determinants of antibiotic recognition and resistance by aminoglycoside phosphotransferase (3')-IIIa  a calorimetric and mutational analysis.txt'
 synthesis,,
 and evaluation of novel small molecule inhibitors of the influenza virus protein NS1.txt',,
'Osimertinib for lung cancer cells harboring low-frequency EGFR T790M mutation.txt','Osimertinib for lung cancer cells harboring low-frequency EGFR T790M mutation.txt','CMIP is oncogenic in human gastric cancer cells.txt'
 'Prodrug strategies for improved efficacy of nucleoside antiviral inhibitors.txt', 'Direct sequencing for rapid detection of multidrug resistant Mycobacterium tuberculosis strains in Morocco.txt', 'Peri-foci adipose-derived stem cells promote chemoresistance in breast cancer.txt'
 'Targeted inhibition of VEGF receptor 2  an update on ramucirumab.txt', 'Two neutropenic patients with multiple resistant Pseudomonas aeruginosa septicaemia treated with ciprofloxacin.txt', 'Hormonal modulation of ESR1 mutant metastasis.txt'
 'Host-Targeting Agents to Prevent and Cure Hepatitis C Virus Infection.txt', 'Mutational Profiling of Non-Small-Cell Lung Cancer Resistant to Osimertinib Using Next-Generation Sequencing in Chinese Patients.txt', 'R‑122 SENP1 axis confers stemness and chemoresistance to liver cancer through Wnt β‑catenin signaling.txt'
 'Lactiplantibacillus plantarum ZDY2013 Inhibits the Development of Non-Alcoholic Fatty Liver Disease by Regulating the Intestinal Microbiota and Modulating the PI3K Akt Pathway.txt', 'Four-year follow-up of infliximab therapy in rheumatoid arthritis patients with long-standing refractory disease  attrition and long-term evolution of disease activity.txt', 'A candidate molecular signature associated with tamoxifen failure in primary breast cancer.txt'
 'Discovery and Characterization of Synthesized and FDA-Approved Inhibitors of Clostridial and Bacillary Collagenases.txt', 'Improved antimicrobial activity of linezolid against vancomycin-intermediate Staphylococcus aureus.txt', 'Glioblastoma stem cells deliver ABCB4 transcribed by ATF3 via exosomes conferring glioblastoma resistance to temozolomide.txt'
 'Challenges and opportunities in the development of metal-based anticancer theranostic agents.txt', 'Lack of protease inhibitor resistance following treatment failure--too good to be true.txt', 'Elevated expression of thymidylate synthase cycle genes in cisplatin-resistant human ovarian carcinoma A2780 cells.txt'
 'Nanozybiotics  Nanozyme-Based Antibacterials against Bacterial Resistance.txt', 'Creative solutions to extraordinary challenges in clinical trials  methodology of a phase III trial of azithromycin and chloroquine fixed-dose combination in pregnant women in Africa.txt', 'Role of sul2 gene linked to transposase in resistance to trimethoprim sulfamethoxazole among Stenotrophomonas maltophilia isolates.txt'
 'Prenylated Chalcone 2 Acts as an Antimitotic Agent and Enhances the Chemosensitivity of Tumor Cells to Paclitaxel.txt', 'Interpretation of genotype and pharmacokinetics for resistance to fosamprenavir-ritonavir-based regimens in antiretroviral-experienced patients.txt', 'An RpoB mutation confers dual heteroresistance to daptomycin and vancomycin in Staphylococcus aureus.txt'
 'The Hippo effector YAP promotes resistance to RAF- and MEK-targeted cancer therapies.txt',, 'Population genetics and microevolution of clinical Candida glabrata reveals recombinant sequence types and hyper-variation within mitochondrial genomes
,, virulence genes
,, and drug targets.txt'
,, 'The T788G mutation in the cyp51C gene confers voriconazole resistance in Aspergillus flavus causing aspergillosis.txt'
,, 'Single-cell trajectory analysis reveals a CD9 positive state to contribute to exit from stem cell-like and embryonic diapause states and transit to drug-resistant states.txt'
'A hope for ineffective antibiotics to return to treatment  investigating the anti-biofilm potential of melittin alone and in combination with penicillin and oxacillin against multidrug resistant-MRSA and -VRSA.txt','Phase 2 trial of paclitaxel,'The two-component signal transduction system and its regulation in Candida albicans.txt'
 'Natural compounds  Wnt pathway inhibitors with therapeutic potential in lung cancer.txt', 13-cis retinoic acid, 'A novel role for the anti-senescence factor TBX2 in DNA repair and cisplatin resistance.txt'
 'Ethanolic Extract of Artemisia vulgaris Leaf Promotes Apoptotic Cell Death in Non-Small-Cell Lung Carcinoma A549 Cells through Inhibition of the Wnt Signaling Pathway.txt', and interferon alfa-2b in the treatment of advanced stage or recurrent cervical cancer.txt', 'Recovery of phospho-ERK activity allows melanoma cells to escape from BRAF inhibitor therapy.txt'
 'The multikinase inhibitor Sorafenib enhances glycolysis and synergizes with glycolysis blockade for cancer cell killing.txt', 'The effect of Chinese herbal formulas combined with metformin on modulating the gut microbiota in the amelioration of type 2 diabetes mellitus  A systematic review and meta-analysis.txt', 'The metal chaperone protein MtmA plays important roles in antifungal drug susceptibility in Aspergillus fumigatus.txt'
 'Development of Combination Strategies for Focal Adhesion Kinase Inhibition in Diffuse Gastric Cancer.txt', 'Pyrazinamide Resistance Assays and Two-Month Sputum Culture Status in Patients with Multidrug-Resistant Tuberculosis.txt', 'Identification of a Permissive Secondary Mutation That Restores the Enzymatic Activity of Oseltamivir Resistance Mutation H275Y.txt'
 'TM-233, 'Carboplatin with Decitabine Therapy, 'ABCA1 is associated with the development of acquired chemotherapy resistance and predicts poor ovarian cancer outcome.txt'
 a novel analog of 1'-acetoxychavicol acetate, in Recurrent Platinum Resistant Ovarian Cancer, 'LncRNA LINC00942 promotes chemoresistance in gastric cancer by suppressing MSI2 degradation to enhance c-Myc mRNA stability.txt'
 induces cell death in myeloma cells by inhibiting both JAK STAT and proteasome activities.txt', Alters Circulating miRNAs Concentrations  A Pilot Study.txt', 'Role of Long Non-coding RNAs on Bladder Cancer.txt'
 'Musashi-2 Silencing Exerts Potent Activity against Acute Myeloid Leukemia and Enhances Chemosensitivity to Daunorubicin.txt', 'Cytoreductive radiotherapy combined with abiraterone in metastatic castration-resistance prostate cancer  a single center experience.txt',
 'Molecular Targets of Natural Compounds with Anti-Cancer Properties.txt', 'Clinical characteristics and outcomes of Pseudomonas aeruginosa bacteremia in febrile neutropenic children and adolescents with the impact of antibiotic resistance  a retrospective study.txt',
, 'Antibiotics in acute bronchitis  a meta-analysis.txt',
'Switching from Aromatase Inhibitors to Dual Targeting Flavonoid-Based Compounds for Breast Cancer Treatment.txt','Asymmetric response to ranibizumab in mixed choroidal neovascularization in a neovascular age-related macular degeneration diagnosed on OCT angiography - case report.txt','The outer membrane protein TolC is required for phytoalexin resistance and virulence of the fire blight pathogen Erwinia amylovora.txt'
 'Investigation of Molecular Mechanisms Involved in Sensitivity to the Anti-Cancer Activity of Costunolide in Breast Cancer Cells.txt', 'Evaluation of the transporter-mediated herb-drug interaction potential of DA-9801, 'Antiviral responses of human Leydig cells to mumps virus infection or poly I C stimulation.txt'
 'Targeted nanotherapy platform mediated tumor-infiltrating CD8+ T cell immune function effects for collaborative anti-tumor photothermal immunotherapy for cervical cancer.txt', a standardized dioscorea extract for diabetic neuropathy, 'MYC activity mitigates response to rapamycin in prostate cancer through eukaryotic initiation factor 4E-binding protein 1-mediated inhibition of autophagy.txt'
 'CT-721, in human in vitro and rat in vivo.txt', 'Loss of Mediator complex subunit 13 (MED13) promotes resistance to alkylation through cyclin D1 upregulation.txt'
 a Potent Bcr-Abl Inhibitor, 'Clinical efficacy of second-generation tyrosine kinase inhibitors in imatinib-resistant gastrointestinal stromal tumors  a meta-analysis of recent clinical trials.txt', 'Inhibition of WIP1 phosphatase sensitizes breast cancer cells to genotoxic stress and to MDM2 antagonist nutlin-3.txt'
 Exhibits Excellent In Vitro and In Vivo Efficacy in the Treatment of Chronic Myeloid Leukemia.txt', 'Enhancing an Oxidative Trojan Horse Action of Vitamin C with Arsenic Trioxide for Effective Suppression of KRAS-Mutant Cancers  A Promising Path at the Bedside.txt', 'N-alkylated isatins evade P-gp mediated efflux and retain potency in MDR cancer cell lines.txt'
 'Biphasic transcriptional and posttranscriptional regulation of MYB by androgen signaling mediates its growth control in prostate cancer.txt', 'Tuberculosis treatment outcomes and associated factors among tuberculosis patients treated at healthcare facilities of Motta Town, 'Role of YAP TAZ transcriptional regulators in resistance to anti-cancer therapies.txt'
 'Cinobufotalin regulates the USP36 c-Myc axis to suppress malignant phenotypes of colon cancer cells in vitro and in vivo.txt', Northwest Ethiopia  a five-year retrospective study.txt',
 'Synergistic growth-inhibitory effects of ponatinib and midostaurin (PKC412) on neoplastic mast cells carrying KIT D816V.txt', 'Quinacrine Treatment of Nitroimidazole-Refractory Giardiasis.txt',
 'Tumor-Initiating Cells  Emerging Biophysical Methods of Isolation.txt',,
'Can macroalgae provide promising anti-tumoral compounds.txt','Case report  responses to cabazitaxel in metastatic castration-resistant prostate cancer after extensive docetaxel treatment.txt','3D collagen type I matrix inhibits the antimigratory effect of doxorubicin.txt'
 'Loganin Ameliorates Painful Diabetic Neuropathy by Modulating Oxidative Stress, 'Fluconazole and echinocandin resistance of Candida species in invasive candidiasis at a university hospital during pre-COVID-19 and the COVID-19 outbreak.txt', 'Broad-specificity efflux pumps and their role in multidrug resistance of Gram-negative bacteria.txt'
 Inflammation and Insulin Sensitivity in Streptozotocin-Nicotinamide-Induced Diabetic Rats.txt', 'Molecular profile of FLT3-mutated relapsed refractory patients with AML in the phase 3 ADMIRAL study of gilteritinib.txt', 'Conjugation to polymeric chains of influenza drugs targeting M2 ion channels partially restores inhibition of drug-resistant mutants.txt'
 'Nonalcoholic Fatty liver  a possible new target for type 2 diabetes prevention and treatment.txt', 'New insulin glargine 300 U ml versus glargine 100 U ml in Japanese people with type 2 diabetes using basal insulin and oral antihyperglycaemic drugs  glucose control and hypoglycaemia in a randomized controlled trial (EDITION JP 2).txt', 'Detection of Genomic Structural Variations Associated with Drug Sensitivity and Resistance in Acute Leukemia.txt'
 'Phytochemical derivatives targeting fliJ flagellar protein from Escherichia coli.txt', 'Rapid bactericidal activity of daptomycin against methicillin-resistant and methicillin-susceptible Staphylococcus aureus peritonitis in mice as measured with bioluminescent bacteria.txt', 'Endothelin receptors mediating contraction of rat and human pulmonary resistance arteries  effect of chronic hypoxia in the rat.txt'
 'Targetable Pathways in Advanced Bladder Cancer  FGFR Signaling.txt',, 'Human cardiac potassium channel DNA polymorphism modulates access to drug-binding site and causes drug resistance.txt'
,, 'Inhibition of STAT3-ferroptosis negative regulatory axis suppresses tumor growth and alleviates chemoresistance in gastric cancer.txt'
,, 'Tumor cell-intrinsic CD274 PD-L1  A novel metabolic balancing act with clinical potential.txt'
'Treating Clostridium difficile infections  Should fecal microbiota transplantation be reclassified from investigational drug to human tissue.txt','Detection of resistance to second-line antituberculosis drugs by use of the genotype MTBDRsl assay  a multicenter evaluation and feasibility study.txt','Cullin 4B protein ubiquitin ligase targets peroxiredoxin III for degradation.txt'
 'GPR30-mediated HMGB1 upregulation in CAFs induces autophagy and tamoxifen resistance in ERalpha-positive breast cancer cells.txt', 'Helicobacter pylori resistance to antibiotics before and after treatment  Incidence of eradication failure.txt', 'GPR30-mediated HMGB1 upregulation in CAFs induces autophagy and tamoxifen resistance in ERalpha-positive breast cancer cells.txt'
 'Ruthenium Complexes as Promising Candidates against Lung Cancer.txt', 'Klebsiella pneumoniae infections after liver transplantation  Drug resistance and distribution of pathogens, 'Np63alpha promotes Bortezomib resistance via the CYGB-ROS axis in head and neck squamous cell carcinoma.txt'
 'Phosphoramidates and phosphonamidates (ProTides) with antiviral activity.txt', risk factors, 'SRC kinase-mediated signaling pathways and targeted therapies in breast cancer.txt'
 'Antiparasitic therapy.txt', and influence on outcomes.txt', 'A model for glutathione binding and activation in the fosfomycin resistance protein
 'Combination antiviral therapy for influenza  predictions from modeling of human infections.txt', 'Effect of renal denervation on long-term outcomes in patients with resistant hypertension.txt', FosA.txt'
