Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis,Drug Disease Matching_Closest,Drug Effectiveness Assessment_Closest,Drug Target Analysis_Closest
 'Synthesis, 'Phase I study of pegylated liposomal doxorubicin and the multidrug-resistance modulator, 'Next-generation sequencing of tissue and circulating tumor DNA  Resistance mechanisms to EGFR targeted therapy in a cohort of patients with advanced non-small cell lung cancer.txt',Sign of the times.txt,"Phase I study of pegylated liposomal doxorubicin and the multidrug-resistance modulator, valspodar.txt",Next-generation sequencing of tissue and circulating tumor DNA  Resistance mechanisms to EGFR targeted therapy in a cohort of patients with advanced non-small cell lung cancer.txt
 Physicochemical Properties and Molecular Docking of New Benzothiazole Derivatives as Antimicrobial Agents Targeting DHPS Enzyme.txt', valspodar.txt', 'Intense endoplasmic reticulum stress (ERS)   IRE1α enhanced Oxaliplatin efficacy by decreased ABCC10 in colorectal cancer cells.txt',"Synthesis, Physicochemical Properties and Molecular Docking of New Benzothiazole Derivatives as Antimicrobial Agents Targeting DHPS Enzyme.txt",Malaria.txt,Intense endoplasmic reticulum stress (ERS)   IRE1α enhanced Oxaliplatin efficacy by decreased ABCC10 in colorectal cancer cells.txt
 'ScaffComb  A Phenotype-Based Framework for Drug Combination Virtual Screening in Large-Scale Chemical Datasets.txt', 'Efficacy and safety of danoprevir-ritonavir plus peginterferon alfa-2a-ribavirin in hepatitis C virus genotype 1 prior null responders.txt', 'The Senolytic Drug JQ1 Removes Senescent Cells via Ferroptosis.txt',ScaffComb  A Phenotype-Based Framework for Drug Combination Virtual Screening in Large-Scale Chemical Datasets.txt,Efficacy and safety of danoprevir-ritonavir plus peginterferon alfa-2a-ribavirin in hepatitis C virus genotype 1 prior null responders.txt,The Senolytic Drug JQ1 Removes Senescent Cells via Ferroptosis.txt
 'Design methods for antimicrobial peptides with improved performance.txt', 'Roxithromycin favorably modifies the initial phase of resistance against infection with macrolide-resistant Streptococcus pneumoniae in a murine pneumonia model.txt', 'NF-kappaB signaling mediates acquired resistance after PARP inhibition.txt',Design methods for antimicrobial peptides with improved performance.txt,Roxithromycin favorably modifies the initial phase of resistance against infection with macrolide-resistant Streptococcus pneumoniae in a murine pneumonia model.txt,NF-kappaB signaling mediates acquired resistance after PARP inhibition.txt
'Integrative analysis and risk model construction for super‑enhancer‑related immune genes in clear cell renal cell carcinoma.txt','High rate of per oral mecillinam treatment failure in community-acquired urinary tract infections caused by ESBL-producing Escherichia coli.txt','Growth inhibition of pathogenic bacteria by sulfonylurea herbicides.txt',Integrative analysis and risk model construction for super‑enhancer‑related immune genes in clear cell renal cell carcinoma.txt,High rate of per oral mecillinam treatment failure in community-acquired urinary tract infections caused by ESBL-producing Escherichia coli.txt,Growth inhibition of pathogenic bacteria by sulfonylurea herbicides.txt
 'Impact of pathobiological diversity of Mycobacterium tuberculosis on clinical features and lethal outcome of tuberculosis.txt', 'Efficacy, 'Quinoxaline 1,Impact of pathobiological diversity of Mycobacterium tuberculosis on clinical features and lethal outcome of tuberculosis.txt,Efficacy of PermaNet® 2.txt,Doxycycline vs.txt
 'ABCA1 in adipocytes regulates adipose tissue lipid content, safety,4-di-N-Oxides  Biological Activities and Mechanisms of Actions.txt',"ABCA1 in adipocytes regulates adipose tissue lipid content, glucose tolerance, and insulin sensitivity.txt",Demystified.txt,"Quinoxaline 1,4-di-N-Oxides  Biological Activities and Mechanisms of Actions.txt"
 glucose tolerance, and lack of interactions with the use of raltegravir in HIV-infected patients undergoing antineoplastic chemotherapy.txt', 'Antibacterial activity of Ro 17-2301 and other antimicrobial agents against cefotaxime-resistant aerobic gram-negative bacilli.txt',Glucose tolerance and ageing.txt,"Efficacy, safety, and lack of interactions with the use of raltegravir in HIV-infected patients undergoing antineoplastic chemotherapy.txt",Antibacterial activity of Ro 17-2301 and other antimicrobial agents against cefotaxime-resistant aerobic gram-negative bacilli.txt
 and insulin sensitivity.txt', 'A multicenter phase II study of pazopanib in patients with advanced gastrointestinal stromal tumors (GIST) following failure of at least imatinib and sunitinib.txt', 'Therapeutic targeting of ATR in alveolar rhabdomyosarcoma.txt',Brain GLP-1 and insulin sensitivity.txt,A multicenter phase II study of pazopanib in patients with advanced gastrointestinal stromal tumors (GIST) following failure of at least imatinib and sunitinib.txt,Therapeutic targeting of ATR in alveolar rhabdomyosarcoma.txt
 'Implications of Fragment-Based Drug Discovery in Tuberculosis and HIV.txt', 'High-dose dual therapy versus bismuth-containing quadruple therapy for the treatment of Helicobacter pylori infection - A review of the strengths, 'Optimal therapeutic targeting by HDAC inhibition in biopsy-derived treatment-naïve diffuse midline glioma models.txt',Implications of Fragment-Based Drug Discovery in Tuberculosis and HIV.txt,"High-dose dual therapy versus bismuth-containing quadruple therapy for the treatment of Helicobacter pylori infection - A review of the strengths, weaknesses, and proposed solutions.txt",Optimal therapeutic targeting by HDAC inhibition in biopsy-derived treatment-naïve diffuse midline glioma models.txt
 'The Relationship of Fat Distribution and Insulin Resistance with Lumbar Spine Bone Mass in Women.txt', weaknesses, 'PAK4 confers cisplatin resistance in gastric cancer cells via PI3K Akt- and MEK ERK-dependent pathways.txt',The Relationship of Fat Distribution and Insulin Resistance with Lumbar Spine Bone Mass in Women.txt,Is resistance useless.txt,PAK4 confers cisplatin resistance in gastric cancer cells via PI3K Akt- and MEK ERK-dependent pathways.txt
 'Insulin resistance and hepatitis C.txt', and proposed solutions.txt', 'Mechanism of fluconazole resistance in Candida krusei.txt',Insulin resistance and hepatitis C.txt,Super germs solution.txt,Mechanism of fluconazole resistance in Candida krusei.txt
'Treating depression in clinical practice  new insights on the multidisciplinary use of trazodone.txt','Activity of lividomycin against Pseudomonas aeruginosa  its inactivation by phosphorylation induced by resistant strains.txt','Expression and activity of multidrug resistance protein 1 in a murine thymoma cell line.txt',Treating depression in clinical practice  new insights on the multidisciplinary use of trazodone.txt,Activity of lividomycin against Pseudomonas aeruginosa  its inactivation by phosphorylation induced by resistant strains.txt,Expression and activity of multidrug resistance protein 1 in a murine thymoma cell line.txt
 'Unravelling the In Vitro and In Vivo Anti-Helicobacter pylori Effect of Delphinidin-3-O-Glucoside Rich Extract from Pomegranate Exocarp  Enhancing Autophagy and Downregulating TNF-α and COX2.txt', 'Emerging (val)ganciclovir resistance during treatment of congenital CMV infection  a case report and review of the literature.txt', 'Design,Unravelling the In Vitro and In Vivo Anti-Helicobacter pylori Effect of Delphinidin-3-O-Glucoside Rich Extract from Pomegranate Exocarp  Enhancing Autophagy and Downregulating TNF-α and COX2.txt,Emerging (val)ganciclovir resistance during treatment of congenital CMV infection  a case report and review of the literature.txt,Drug resistance.txt
 'Metformin as an Enhancer for the Treatment of Chemoresistant CD34+ Acute Myeloid Leukemia Cells.txt', 'Phase II clinical trial of ixabepilone in patients with recurrent or persistent platinum- and taxane-resistant ovarian or primary peritoneal cancer  a gynecologic oncology group study.txt', synthesis and biological evaluation of a halogenated phenazine-erythromycin conjugate prodrug for antibacterial applications.txt',Metformin as an Enhancer for the Treatment of Chemoresistant CD34+ Acute Myeloid Leukemia Cells.txt,Phase II clinical trial of ixabepilone in patients with recurrent or persistent platinum- and taxane-resistant ovarian or primary peritoneal cancer  a gynecologic oncology group study.txt,"Design, synthesis and biological evaluation of a halogenated phenazine-erythromycin conjugate prodrug for antibacterial applications.txt"
 'Exploration of potential targets and mechanisms of Naringenin in treating autism spectrum disorder via network pharmacology and molecular docking.txt', 'Randomized phase III trial of ixabepilone plus capecitabine versus capecitabine in patients with metastatic breast cancer previously treated with an anthracycline and a taxane.txt', 'LKB1 deficiency enhances sensitivity to energetic stress induced by erlotinib treatment in non-small-cell lung cancer (NSCLC) cells.txt',Exploration of potential targets and mechanisms of Naringenin in treating autism spectrum disorder via network pharmacology and molecular docking.txt,Randomized phase III trial of ixabepilone plus capecitabine versus capecitabine in patients with metastatic breast cancer previously treated with an anthracycline and a taxane.txt,LKB1 deficiency enhances sensitivity to energetic stress induced by erlotinib treatment in non-small-cell lung cancer (NSCLC) cells.txt
 'Tetrandrine enhances radiosensitivity through the CDC25C CDK1 cyclin B1 pathway in nasopharyngeal carcinoma cells.txt', 'Wnt beta-Catenin Inhibition Disrupts Carboplatin Resistance in Isogenic Models of Triple-Negative Breast Cancer.txt', 'Modulation of immunity by antiangiogenic molecules in cancer.txt',Tetrandrine enhances radiosensitivity through the CDC25C CDK1 cyclin B1 pathway in nasopharyngeal carcinoma cells.txt,Wnt beta-Catenin Inhibition Disrupts Carboplatin Resistance in Isogenic Models of Triple-Negative Breast Cancer.txt,Modulation of immunity by antiangiogenic molecules in cancer.txt
 'Therapeutic Potential for Bone Morphogenetic Protein 4 in Human Malignant Glioma.txt', 'Evaluation of intragastric vs intraperitoneal glucose tolerance tests in the evaluation of insulin resistance in a rodent model of burn injury and glucagon-like polypeptide-1 treatment.txt', 'AcrB trimer stability and efflux activity,Therapeutic Potential for Bone Morphogenetic Protein 4 in Human Malignant Glioma.txt,Evaluation of intragastric vs intraperitoneal glucose tolerance tests in the evaluation of insulin resistance in a rodent model of burn injury and glucagon-like polypeptide-1 treatment.txt,"AcrB trimer stability and efflux activity, insight from mutagenesis studies.txt"
 'Effective treatment with combination of peripheral 5-hydroxytryptamine synthetic inhibitor and 5-hydroxytryptamine 2 receptor antagonist on glucocorticoid-induced whole-body insulin resistance with hyperglycemia.txt', 'Phase I II study of azacitidine and capecitabine oxaliplatin (CAPOX) in refractory CIMP-high metastatic colorectal cancer  evaluation of circulating methylated vimentin.txt', insight from mutagenesis studies.txt',Effective treatment with combination of peripheral 5-hydroxytryptamine synthetic inhibitor and 5-hydroxytryptamine 2 receptor antagonist on glucocorticoid-induced whole-body insulin resistance with hyperglycemia.txt,Phase I II study of azacitidine and capecitabine oxaliplatin (CAPOX) in refractory CIMP-high metastatic colorectal cancer  evaluation of circulating methylated vimentin.txt,"AcrB trimer stability and efflux activity, insight from mutagenesis studies.txt"
'Rapamycin and trametinib  a rational combination for treatment of NSCLC.txt','Multidrug resistance-associated protein 2 (MRP2 ABCC2) haplotypes significantly affect the pharmacokinetics of tacrolimus in kidney transplant recipients.txt','The role of GRP78 on the resistance to cisplatin in SPCA-1 cell line,Rapamycin and trametinib  a rational combination for treatment of NSCLC.txt,Multidrug resistance-associated protein 2 (MRP2 ABCC2) haplotypes significantly affect the pharmacokinetics of tacrolimus in kidney transplant recipients.txt,The role of GRP78 on the resistance to cisplatin in SPCA-1 cell line].txt
'In vitro characterization of the activity of PF-05095808,'Effects of hepatitis C virus genotypes and viral load on glucose and lipid metabolism after sustained virological response with direct-acting antivirals.txt','Expression of Ferredoxin1 in cisplatin-resistant ovarian cancer cells confers their resistance against ferroptosis induced by cisplatin.txt',"In vitro characterization of the activity of PF-05095808, a novel biological agent for hepatitis C virus therapy.txt",Effects of hepatitis C virus genotypes and viral load on glucose and lipid metabolism after sustained virological response with direct-acting antivirals.txt,Expression of Ferredoxin1 in cisplatin-resistant ovarian cancer cells confers their resistance against ferroptosis induced by cisplatin.txt
 a novel biological agent for hepatitis C virus therapy.txt', 'Caspofungin Inhibits Mixed Biofilms of Candida albicans and Methicillin-Resistant Staphylococcus aureus and Displays Effectiveness in Coinfected Galleria mellonella Larvae.txt', 'The role of P-glycoprotein cellular prion protein interaction in multidrug-resistant breast cancer cells treated with paclitaxel.txt',Development of novel antiviral therapies for hepatitis C virus.txt,Caspofungin Inhibits Mixed Biofilms of Candida albicans and Methicillin-Resistant Staphylococcus aureus and Displays Effectiveness in Coinfected Galleria mellonella Larvae.txt,The role of P-glycoprotein cellular prion protein interaction in multidrug-resistant breast cancer cells treated with paclitaxel.txt
 'T22-PE24-H6 Nanotoxin Selectively Kills CXCR4-High Expressing AML Patient Cells In Vitro and Potently Blocks Dissemination In Vivo.txt', 'Effectiveness of topical vancomycin in the prevention of spinal surgical site infections  a retrospective cohort study.txt', 'Branched-chain amino acid aminotransferase 2 regulates ferroptotic cell death in cancer cells.txt',T22-PE24-H6 Nanotoxin Selectively Kills CXCR4-High Expressing AML Patient Cells In Vitro and Potently Blocks Dissemination In Vivo.txt,Effectiveness of topical vancomycin in the prevention of spinal surgical site infections  a retrospective cohort study.txt,Branched-chain amino acid aminotransferase 2 regulates ferroptotic cell death in cancer cells.txt
 'Aspirin inhibits tumor progression and enhances cisplatin sensitivity in epithelial ovarian cancer.txt', 'Phase 1, 'DDX3,Aspirin inhibits tumor progression and enhances cisplatin sensitivity in epithelial ovarian cancer.txt,Two ATPases.txt,David D.txt
 'Supramolecular nanoparticles that target phosphoinositide-3-kinase overcome insulin resistance and exert pronounced antitumor efficacy.txt', dose-escalation study of guadecitabine (SGI-110) in combination with pembrolizumab in patients with solid tumors.txt', a potential target for cancer treatment.txt',Supramolecular nanoparticles that target phosphoinositide-3-kinase overcome insulin resistance and exert pronounced antitumor efficacy.txt,"Phase 1, dose-escalation study of guadecitabine (SGI-110) in combination with pembrolizumab in patients with solid tumors.txt","DDX3, a potential target for cancer treatment.txt"
 'A multidimensional platform of patient-derived tumors identifies drug susceptibilities for clinical lenvatinib resistance.txt', 'Synergistic cytotoxicity of a prostate cancer-specific immunotoxin in combination with the BH3 mimetic ABT-737.txt', 'Targeting erythroblast-specific apoptosis in experimental anemia.txt',A multidimensional platform of patient-derived tumors identifies drug susceptibilities for clinical lenvatinib resistance.txt,Synergistic cytotoxicity of a prostate cancer-specific immunotoxin in combination with the BH3 mimetic ABT-737.txt,Targeting erythroblast-specific apoptosis in experimental anemia.txt
"""Machine learning-driven exploration of drug therapies for triple-negative breast cancer treatment.txt""","""Resistance to clarithromycin and gastroenterologist's persistence roles in nomination for Helicobacter pylori as high priority pathogen by World Health Organization.txt""","""Superior Drug Delivery Performance of Multifunctional Bilosomes  Innovative Strategy to Kill Skin Cancer Cells for Nanomedicine Application.txt""",Machine learning-driven exploration of drug therapies for triple-negative breast cancer treatment.txt,Resistance to clarithromycin and gastroenterologist's persistence roles in nomination for Helicobacter pylori as high priority pathogen by World Health Organization.txt,Superior Drug Delivery Performance of Multifunctional Bilosomes  Innovative Strategy to Kill Skin Cancer Cells for Nanomedicine Application.txt
" ""Combined BRAFV600E and MEK blockade for BRAFV600E-mutant gliomas.txt"""," ""In vitro activity of moxalactam and mecillinam"," ""Chlorogenic Acid",Combined BRAFV600E and MEK blockade for BRAFV600E-mutant gliomas.txt,In vitro activity and killing effect of uperin 3.txt,Inorganic fluoride.txt
" ""Nanoparticle delivery of an AKT PDK1 inhibitor improves the therapeutic effect in pancreatic cancer.txt""", singly and in combination, the Main Antioxidant in Coffee,Nanoparticle delivery of an AKT PDK1 inhibitor improves the therapeutic effect in pancreatic cancer.txt,A Winning New Combination.txt,Antioxidant function of fungal melanin.txt
" ""Targeting Chikungunya Virus Replication by Benzoannulene Inhibitors.txt"""," against multi-drug-resistant Enterobacteriaceae and Pseudomonas species.txt"""," Reduces Radiation-Induced Apoptosis and DNA Damage via NF-E2-Related Factor 2 (Nrf2) Activation in Hepatocellular Carcinoma.txt""",Targeting Chikungunya Virus Replication by Benzoannulene Inhibitors.txt,Genomic dataset of a multiple-drug resistant Pseudomonas sp.txt,"Chlorogenic Acid, the Main Antioxidant in Coffee, Reduces Radiation-Induced Apoptosis and DNA Damage via NF-E2-Related Factor 2 (Nrf2) Activation in Hepatocellular Carcinoma.txt"
" ""CRISPR-Cas9 library screening approach for anti-cancer drug discovery  overview and perspectives.txt"""," ""Vancomycin AUC24  MIC Ratio in Patients with Methicillin-Resistant Staphylococcus aureus Pneumonia.txt"""," ""Studying the Effect of Amino Acid Substitutions in the M2 Ion Channel of the Influenza Virus on the Antiviral Activity of the Aminoadamantane Derivative In Vitro and In Silico.txt""",CRISPR-Cas9 library screening approach for anti-cancer drug discovery  overview and perspectives.txt,Vancomycin AUC24  MIC Ratio in Patients with Methicillin-Resistant Staphylococcus aureus Pneumonia.txt,Studying the Effect of Amino Acid Substitutions in the M2 Ion Channel of the Influenza Virus on the Antiviral Activity of the Aminoadamantane Derivative In Vitro and In Silico.txt
" ""The Small Molecule IMR-1 Inhibits the Notch Transcriptional Activation Complex to Suppress Tumorigenesis.txt"""," ""Case series of cefiderocol for salvage therapy in carbapenem-resistant Gram-negative infections.txt"""," ""Function of Multidrug Resistance Transporters is Disrupted by Infection Mimics in Human Brain Endothelial Cells.txt""",The Small Molecule IMR-1 Inhibits the Notch Transcriptional Activation Complex to Suppress Tumorigenesis.txt,Case series of cefiderocol for salvage therapy in carbapenem-resistant Gram-negative infections.txt,Function of Multidrug Resistance Transporters is Disrupted by Infection Mimics in Human Brain Endothelial Cells.txt
" ""Molecular Mimics of Classic P-Glycoprotein Inhibitors as Multidrug Resistance Suppressors and Their Synergistic Effect on Paclitaxel.txt"""," ""Structural Basis for Linezolid Binding Site Rearrangement in the Staphylococcus aureus Ribosome.txt"""," ""SRC-3 coactivator regulates cell resistance to cytotoxic stress via TRAF4-mediated p53 destabilization.txt""",Molecular Mimics of Classic P-Glycoprotein Inhibitors as Multidrug Resistance Suppressors and Their Synergistic Effect on Paclitaxel.txt,Structural Basis for Linezolid Binding Site Rearrangement in the Staphylococcus aureus Ribosome.txt,SRC-3 coactivator regulates cell resistance to cytotoxic stress via TRAF4-mediated p53 destabilization.txt
" ""The MTH1 inhibitor TH588 demonstrates anti-tumoral effects alone and in combination with everolimus"," ""Therapy of staphylococcal infections in monkeys.txt"""," ""Pim-1 kinase is a target of miR-486-5p and eukaryotic translation initiation factor 4E","The MTH1 inhibitor TH588 demonstrates anti-tumoral effects alone and in combination with everolimus, 5-FU and gamma-irradiation in neuroendocrine tumor cells.txt",Therapy of staphylococcal infections in monkeys.txt,"Pim-1 kinase is a target of miR-486-5p and eukaryotic translation initiation factor 4E, and plays a critical role in lung cancer.txt"
" 5-FU and gamma-irradiation in neuroendocrine tumor cells.txt"""," ""Penicillin sensitivity of gonococci in Ethiopia.txt"""," and plays a critical role in lung cancer.txt""",Loss of YAP1 defines neuroendocrine differentiation of lung tumors.txt,Penicillin sensitivity of gonococci in Ethiopia.txt,Cancer stem cells  progress and challenges in lung cancer.txt
'Quinoxaline-Based Anti-Schistosomal Compounds Have Potent Anti-Malarial Activity.txt','Pioglitazone decreases hepatitis C viral load in overweight,'Prenylflavonoid Isoxanthohumol Sensitizes MCF-7 ADR Cells to Doxorubicin Cytotoxicity via Acting as a Substrate of ABCB1.txt',Quinoxaline-Based Anti-Schistosomal Compounds Have Potent Anti-Malarial Activity.txt,"Pioglitazone decreases hepatitis C viral load in overweight, treatment naïve, genotype 4 infected-patients  a pilot study.txt",Prenylflavonoid Isoxanthohumol Sensitizes MCF-7 ADR Cells to Doxorubicin Cytotoxicity via Acting as a Substrate of ABCB1.txt
 'Identification of PTC725, treatment naïve, 'Phenolic indeno[1,Identification of a chrXq27.txt,Cancer  calculated treatment.txt,A genetic intervention.txt
 an orally bioavailable small molecule that selectively targets the hepatitis C Virus NS4B protein.txt', genotype 4 infected-patients  a pilot study.txt',2-b,"Identification of PTC725, an orally bioavailable small molecule that selectively targets the hepatitis C Virus NS4B protein.txt",The incretin effect in critically ill patients  a case-control study.txt,2 diabetes.txt
'BCL2 Inhibitor (ABT-737)  A Restorer of Prednisolone Sensitivity in Early T-Cell Precursor-Acute Lymphoblastic Leukemia with High MEF2C Expression.txt','A Ten-Year Experience of Treating Chronic Myeloid Leukemia in Rural Rwanda  Outcomes and Insights for a Changing Landscape.txt','The adaptive transition of glioblastoma stem cells and its implications on treatments.txt',BCL2 Inhibitor (ABT-737)  A Restorer of Prednisolone Sensitivity in Early T-Cell Precursor-Acute Lymphoblastic Leukemia with High MEF2C Expression.txt,A Ten-Year Experience of Treating Chronic Myeloid Leukemia in Rural Rwanda  Outcomes and Insights for a Changing Landscape.txt,The adaptive transition of glioblastoma stem cells and its implications on treatments.txt
 'Methyl jasmonate leads to necrosis and apoptosis in hepatocellular carcinoma cells via inhibition of glycolysis and represses tumor growth in mice.txt', 'Effect of co-trimoxazole on mortality in HIV-exposed but uninfected children in Botswana (the Mpepu Study)  a double-blind, 'BCL2 Inhibitor (ABT-737)  A Restorer of Prednisolone Sensitivity in Early T-Cell Precursor-Acute Lymphoblastic Leukemia with High MEF2C Expression.txt',Methyl jasmonate leads to necrosis and apoptosis in hepatocellular carcinoma cells via inhibition of glycolysis and represses tumor growth in mice.txt,"Effect of co-trimoxazole on mortality in HIV-exposed but uninfected children in Botswana (the Mpepu Study)  a double-blind, randomised, placebo-controlled trial.txt",BCL2 Inhibitor (ABT-737)  A Restorer of Prednisolone Sensitivity in Early T-Cell Precursor-Acute Lymphoblastic Leukemia with High MEF2C Expression.txt
 'RNA-106a modulates cisplatin sensitivity by targeting PDCD4 in human ovarian cancer cells.txt', randomised, 'NPM-ALK  A Driver of Lymphoma Pathogenesis and a Therapeutic Target.txt',RNA-106a modulates cisplatin sensitivity by targeting PDCD4 in human ovarian cancer cells.txt,Arabidopsis.txt,NPM-ALK  A Driver of Lymphoma Pathogenesis and a Therapeutic Target.txt
 'PIM1 Inhibition Affects Glioblastoma Stem Cell Behavior and Kills Glioblastoma Stem-like Cells.txt', placebo-controlled trial.txt', 'Probenecid and N-Acetylcysteine Prevent Loss of Intracellular Glutathione and Inhibit Neuronal Death after Mechanical Stretch Injury In Vitro.txt',PIM1 Inhibition Affects Glioblastoma Stem Cell Behavior and Kills Glioblastoma Stem-like Cells.txt,Randomised controlled trial.txt,Probenecid and N-Acetylcysteine Prevent Loss of Intracellular Glutathione and Inhibit Neuronal Death after Mechanical Stretch Injury In Vitro.txt
 'G-749 Promotes Receptor Tyrosine Kinase TYRO3 Degradation and Induces Apoptosis in Both Colon Cancer Cell Lines and Xenograft Mouse Models.txt', 'Ceftolozane Tazobactam Plus Metronidazole for Complicated Intra-abdominal Infections in an Era of Multidrug Resistance  Results From a Randomized, 'Identification of drivers of mycobacterial resistance to peptidoglycan synthesis inhibitors.txt',G-749 Promotes Receptor Tyrosine Kinase TYRO3 Degradation and Induces Apoptosis in Both Colon Cancer Cell Lines and Xenograft Mouse Models.txt,"Ceftolozane Tazobactam Plus Metronidazole for Complicated Intra-abdominal Infections in an Era of Multidrug Resistance  Results From a Randomized, Double-Blind, Phase 3 Trial (ASPECT-cIAI).txt",Identification of drivers of mycobacterial resistance to peptidoglycan synthesis inhibitors.txt
 'Prostaglandin E receptor EP4 is a therapeutic target in breast cancer cells with stem-like properties.txt', Double-Blind, 'Molecular chaperone GRP78 enhances aggresome delivery to autophagosomes to promote drug resistance in multiple myeloma.txt',Prostaglandin E receptor EP4 is a therapeutic target in breast cancer cells with stem-like properties.txt,Phenol-soluble modulins.txt,Molecular chaperone GRP78 enhances aggresome delivery to autophagosomes to promote drug resistance in multiple myeloma.txt
 'Valproic acid resensitizes cisplatin-resistant ovarian cancer cells.txt', Phase 3 Trial (ASPECT-cIAI).txt', 'Celecoxib Up Regulates the Expression of Drug Efflux Transporter ABCG2 in Breast Cancer Cell Lines.txt',Valproic acid resensitizes cisplatin-resistant ovarian cancer cells.txt,A phase I clinical trial of the hu14.txt,Celecoxib Up Regulates the Expression of Drug Efflux Transporter ABCG2 in Breast Cancer Cell Lines.txt
 'Pulsatilla saponin D regulates ras-related C3 botulinum toxin substrate 3 (RAC3) to overcome resistance to paclitaxel in lung adenocarcinoma cells.txt', 'A phase 1 study of cetuximab and lapatinib in patients with advanced solid tumor malignancies.txt', 'Expression proteomics predicts loss of RXR-γ during progression of epithelial ovarian cancer.txt',Pulsatilla saponin D regulates ras-related C3 botulinum toxin substrate 3 (RAC3) to overcome resistance to paclitaxel in lung adenocarcinoma cells.txt,A phase 1 study of cetuximab and lapatinib in patients with advanced solid tumor malignancies.txt,Expression proteomics predicts loss of RXR-γ during progression of epithelial ovarian cancer.txt
'Lobeglitazone  A Novel Thiazolidinedione for the Management of Type 2 Diabetes Mellitus.txt','Efficacy of artemether-lumefantrine for the treatment of uncomplicated Plasmodium falciparum malaria in Nepal.txt','Potent suppression of stretch reflex activity after systemic or spinal delivery of tizanidine in rats with spinal ischemia-induced chronic spastic paraplegia.txt',Lobeglitazone  A Novel Thiazolidinedione for the Management of Type 2 Diabetes Mellitus.txt,Efficacy of artemether-lumefantrine for the treatment of uncomplicated Plasmodium falciparum malaria in Nepal.txt,Potent suppression of stretch reflex activity after systemic or spinal delivery of tizanidine in rats with spinal ischemia-induced chronic spastic paraplegia.txt
 'O6-methylguanine-DNA methyltransferase modulates cisplatin-induced DNA double-strand breaks by targeting the homologous recombination pathway in nasopharyngeal carcinoma.txt', 'Safety and efficacy of miltefosine alone and in combination with sodium stibogluconate and liposomal amphotericin B for the treatment of primary visceral leishmaniasis in East Africa  study protocol for a randomized controlled trial.txt', 'O6-methylguanine-DNA methyltransferase modulates cisplatin-induced DNA double-strand breaks by targeting the homologous recombination pathway in nasopharyngeal carcinoma.txt',O6-methylguanine-DNA methyltransferase modulates cisplatin-induced DNA double-strand breaks by targeting the homologous recombination pathway in nasopharyngeal carcinoma.txt,Safety and efficacy of miltefosine alone and in combination with sodium stibogluconate and liposomal amphotericin B for the treatment of primary visceral leishmaniasis in East Africa  study protocol for a randomized controlled trial.txt,O6-methylguanine-DNA methyltransferase modulates cisplatin-induced DNA double-strand breaks by targeting the homologous recombination pathway in nasopharyngeal carcinoma.txt
 'Celastrol enhances tamoxifen sensitivity in the treatment of triple negative breast cancer via mitochondria mediated apoptosis pathway.txt', 'An optimized background regimen design to evaluate the contribution of levofloxacin to multidrug-resistant tuberculosis treatment regimens  study protocol for a randomized controlled trial.txt', 'Transcription factor EB is involved in autophagy-mediated chemoresistance to doxorubicin in human cancer cells.txt',Celastrol enhances tamoxifen sensitivity in the treatment of triple negative breast cancer via mitochondria mediated apoptosis pathway.txt,An optimized background regimen design to evaluate the contribution of levofloxacin to multidrug-resistant tuberculosis treatment regimens  study protocol for a randomized controlled trial.txt,Transcription factor EB is involved in autophagy-mediated chemoresistance to doxorubicin in human cancer cells.txt
 'Pre-clinical safety and therapeutic efficacy of a plant-based alkaloid in a human colon cancer xenograft model.txt', 'The Indian and Nepalese programmes of indoor residual spraying for the elimination of visceral leishmaniasis  performance and effectiveness.txt', 'MiR-21 mediates sorafenib resistance of hepatocellular carcinoma cells by inhibiting autophagy via the PTEN Akt pathway.txt',Pre-clinical safety and therapeutic efficacy of a plant-based alkaloid in a human colon cancer xenograft model.txt,The Indian and Nepalese programmes of indoor residual spraying for the elimination of visceral leishmaniasis  performance and effectiveness.txt,MiR-21 mediates sorafenib resistance of hepatocellular carcinoma cells by inhibiting autophagy via the PTEN Akt pathway.txt
 'Development of EGFR-targeted nanoemulsion for imaging and novel platinum therapy of ovarian cancer.txt', 'Assessing risks of Plasmodium falciparum resistance to select next-generation antimalarials.txt', 'Protein tyrosine kinase 2b inhibition reverts niche-associated resistance to tyrosine kinase inhibitors in AML.txt',Development of EGFR-targeted nanoemulsion for imaging and novel platinum therapy of ovarian cancer.txt,Assessing risks of Plasmodium falciparum resistance to select next-generation antimalarials.txt,Protein tyrosine kinase 2b inhibition reverts niche-associated resistance to tyrosine kinase inhibitors in AML.txt
 'A promising strategy for overcoming MDR in tumor by magnetic iron oxide nanoparticles co-loaded with daunorubicin and 5-bromotetrandrin.txt', 'Treatment strategies for cryptococcal infection  challenges, 'MET Signaling Pathways,A promising strategy for overcoming MDR in tumor by magnetic iron oxide nanoparticles co-loaded with daunorubicin and 5-bromotetrandrin.txt,"Treatment strategies for cryptococcal infection  challenges, advances and future outlook.txt",Ceramide Signaling and p53 Pathways.txt
 'PEGylated Liposomes Remotely Loaded with the Combination of Doxorubicin, advances and future outlook.txt', Resistance Mechanisms,A Novel Diosgenin-Based Liposome Delivery System Combined with Doxorubicin for Liver Cancer Therapy.txt,Membranes and bile formation.txt,Mechanisms of Antibiotic Resistance.txt
